class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.1365145,3.395136e-05,18.47898,0.009708275,0.07051906,17.43962,0.0063297169999999995,0.04878476
GALAXY,0.1535654,3.274566e-05,18.57491,0.01096943,0.1714351,17.48785,0.007109529,0.118598
GALAXY,0.5371220999999999,0.00015849389999999998,21.62044,0.1148527,0.11163699999999999,19.92152,0.03933051,0.07722999
GALAXY,0.4962514,0.000119633,21.45844,0.08207215,0.098544,19.74604,0.02988176,0.06817228
GALAXY,0.6126488,0.0004462864,23.91529,0.38370340000000003,0.07282613,21.72995,0.09054527,0.05038078
GALAXY,0.07959062,1.1145309999999999e-05,17.9243,0.005960811999999999,0.053243399999999996,17.25991,0.005030883,0.03683354
QSO,4.087436,0.0005558821,22.04884,0.08328523,0.1655095,20.37999,0.02787733,0.11449870000000001
QSO,2.4657720000000003,-1.0,19.697020000000002,0.01447403,0.1425521,19.539260000000002,0.01823228,0.09861685
QSO,1.543808,0.0004333931,21.44983,0.04872990000000001,0.1679965,21.22619,0.05916375,0.1162192
GALAXY,0.11296310000000001,2.8473290000000003e-05,18.368660000000002,0.008440251999999999,0.11069369999999999,17.36411,0.006096168000000001,0.07657739
GALAXY,0.1002525,7.795212e-06,18.10736,0.008798381,0.06822764,17.5247,0.008446802,0.04719957
GALAXY,0.5841451,0.00019644419999999998,21.91123,0.1389604,0.07758714,20.733929999999997,0.08157286,0.05367442
GALAXY,0.4131353,0.0001212335,22.133770000000002,0.11614560000000002,0.1531152,20.29256,0.03995832,0.10592439999999999
GALAXY,0.4124973,0.0001132292,20.555979999999998,0.0673876,0.03814928,18.64095,0.02081073,0.026391500000000002
GALAXY,0.4220513,4.516608e-05,21.02661,0.04964614,0.1801097,19.74286,0.02550958,0.1245991
GALAXY,0.5870758,0.0001569209,23.064410000000002,0.35223699999999997,0.1399061,21.12971,0.09732887,0.09678642
GALAXY,0.5773786,0.00022147119999999998,22.70297,0.19957650000000002,0.12436620000000001,21.29884,0.09272632,0.08603597
GALAXY,0.5911949000000001,0.0001563805,21.2034,0.1424667,0.12377200000000001,20.49788,0.1125578,0.08562493
QSO,2.419207,0.0003080785,21.594070000000002,0.05464166,0.1281369,21.67128,0.08216981,0.08864455
GALAXY,0.3519812,7.942804e-05,20.37689,0.0556234,0.1373582,18.557370000000002,0.01662515,0.09502374
GALAXY,0.1584325,3.821182e-05,19.44709,0.01730383,0.047254000000000004,18.21019,0.009647788000000001,0.0326901
GALAXY,0.1604385,4.5983469999999996e-05,18.43664,0.01023324,0.05447488,17.21849,0.006106628,0.03768547
QSO,2.2188220000000003,0.00044805379999999996,20.57105,0.02303489,0.03969705,20.43532,0.02692077,0.02746223
QSO,1.453559,0.0004855762,21.050639999999998,0.036052,0.0578924,20.74409,0.03822079,0.040049699999999994
GALAXY,0.11654589999999998,1.469489e-05,17.87646,0.007623015,0.05241359,17.11585,0.005977324,0.03625948
GALAXY,0.05448749,1.227645e-05,16.95588,0.0056933159999999995,0.04771647,16.3154,0.004812847,0.03301004
GALAXY,0.3706162,0.0001393359,21.85793,0.11761989999999999,0.1702909,20.20947,0.04100329,0.11780650000000001
GALAXY,0.5556189,0.0001320216,21.39029,0.1578806,0.1039163,19.8659,0.06649321,0.07188878
GALAXY,0.1449901,2.9815659999999997e-05,18.33182,0.009035052,0.08639279,17.27524,0.0058647790000000005,0.05976613
GALAXY,0.6535078000000001,0.0001100941,22.43852,0.1314905,0.04825922,20.79719,0.05171104,0.0333855
QSO,1.7650700000000001,0.0019931320000000003,21.46518,0.04093906,0.041977,21.399829999999998,0.05792167,0.02903949
GALAXY,0.1234406,1.7843920000000002e-05,17.73779,0.007197775,0.13453289999999998,16.64736,0.0047948470000000005,0.09306923
GALAXY,0.47644430000000004,0.0001740461,21.12763,0.09744103,0.06688653,19.38309,0.0349431,0.04627179
