class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,1.820686,0.0005264617,20.61205,0.02287095,0.03782,20.51275,0.03070458,0.0261637,232846.62577703688,1.618222089501552e-16,7228.041711377058
QSO,2.49624,0.0004659944,20.82513,0.03227187,0.1000105,20.75636,0.04172375,0.0691868,254450.747146665,1.329860618091592e-16,7973.273289789423
QSO,0.986739,0.0001880973,17.63391,0.005398189,0.1164245,17.37311,0.005481021,0.08054195,178593.96689842545,2.5135881785344923e-15,1833.9717858032948
QSO,0.5386615,0.0001059155,18.75726,0.008411069,0.08652252,18.93735,0.0113156,0.05985588,121740.9012338105,8.932111283020656e-16,3076.54059589389
QSO,2.915466,0.0004610771,19.855220000000006,0.01466755,0.2092033,19.5749,0.0149128,0.1447258,263077.649220971,3.2491527216839066e-16,5100.992090350649
QSO,2.576172,0.0008989992,21.91143,0.06407308,0.07465682,21.7831,0.08231515,0.05164724,256309.63491238386,4.889744030916309e-17,13149.118828579378
QSO,2.24662,0.0009660929,21.80909,0.04817529,0.1273755,21.63695,0.06126652,0.08811776,247837.79712661097,5.3730653807861985e-17,12543.786400750096
QSO,2.104577,0.000474785,19.14927,0.009848696,0.12598910000000002,19.01851,0.01063079,0.08715866,243432.00820913818,6.225154366611518e-16,3685.230442824137
QSO,2.762825,0.0008084219,21.436,0.04273162,0.14019410000000002,21.28321,0.04683211,0.09698562,260239.00654032824,7.576316782834393e-17,10563.568433051407
QSO,3.200356,0.0005129166000000001,20.66838,0.02990374,0.08027674,20.31297,0.03145519,0.05553507,267631.0451011342,1.5364064623511496e-16,7417.996944588739
QSO,1.923184,0.0009750877,22.11911,0.07534358,0.02017718,21.96291,0.09452739,0.01395848,236975.83978139618,4.0384445596724825e-17,14468.80455135805
QSO,1.083002,0.0005582803,19.76009,0.01476215,0.02845779,19.58976,0.01751747,0.01968696,187487.44842324892,3.546680974112406e-16,4882.347085345935
