class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,3.489204,0.0002761941,20.35286,0.02000281,0.08835875,19.53533,0.01471563,0.06112618,271447.2464045859,2.0545377491556526e-16,6414.793051588521
QSO,0.7007861,8.433197e-05,22.05798,0.1219029,0.1893267,20.74033,0.05461289,0.1309753,145763.37287910888,4.2723431275402695e-17,14067.167221684773
QSO,2.322402,0.001931472,21.65207,0.06687732,0.04711074,21.68549,0.09419534,0.032591,249986.2416581981,6.209121028284369e-17,11668.758458602524
QSO,2.43577,0.0006900064,20.6746,0.02438172,0.03829189,20.54701,0.02692096,0.02649015,252966.40539906675,1.527629812267509e-16,7439.275633612264
QSO,3.233152,0.0004493888,21.14816,0.046205300000000005,0.0985564,20.93663,0.05219141,0.06818086,268101.2128794997,9.876296628037806e-17,9252.149679973692
QSO,2.436022,0.0001363471,18.50685,0.007676562,0.05539407,18.46656,0.008552661999999999,0.03832136,252972.73733066488,1.1249109006244394e-15,2741.4520244492746
QSO,2.713595,0.0006449693,19.74211,0.01526965,0.1091287,19.62439,0.01776521,0.07549474,259254.7311977751,3.605903708461742e-16,4842.087688650971
QSO,1.911788,0.0005541851,19.12237,0.01072047,0.10620739999999998,19.15224,0.01284452,0.07347377,236535.1573611879,6.381314148235793e-16,3639.85975205758
QSO,2.531903,0.0004253618,21.77096,0.0673617,0.1953694,21.58089,0.08344711,0.1351556,255294.176871927,5.565114769171591e-17,12325.446192965504
QSO,1.23916,0.0005378989,18.98436,0.009605792,0.02476032,18.81207,0.01024221,0.01712907,200091.57392362197,7.246263545391595e-16,3415.723047374615
QSO,0.05690337,3.206108e-05,16.87521,0.004421806,0.1929754,16.078429999999994,0.003436505,0.1334995,16574.580499687723,5.0556165305108566e-15,1293.1611539782245
QSO,0.5225711,8.772521999999999e-05,20.63224,0.03816816,0.09860077,19.81695,0.0290777,0.06821156,119097.86322727168,1.58840821756838e-16,7295.5602786005875
QSO,2.592488,0.0005218787000000001,20.52818,0.02318002,0.07584497,20.54055,0.03235852,0.0524692,256675.37125953683,1.7481799106683832e-16,6954.191568527807
QSO,1.8877,0.0002816014,22.36393,0.1208147,0.04535229,22.36691,0.1743419,0.03137451,235588.89960472158,3.223191619606766e-17,16195.585385943274
QSO,2.618926,0.001877334,21.35678,0.05138663,0.05533223,21.26888,0.06759847,0.03827858,257258.52528462178,8.149784502013731e-17,10185.131724479874
QSO,1.046602,0.000335131,18.72556,0.008416759000000001,0.11301189999999997,18.42711,0.008390439,0.07818108,184233.87640249275,9.196744583294667e-16,3031.954293919394
QSO,1.763019,0.0004662833,18.81443,0.008483922,0.230262,18.81407,0.009911568,0.1592942,230350.03395930058,8.473954449859282e-16,3158.6146846520855
QSO,2.180629,0.0004153789,20.8765,0.03335038,0.09852575,20.77373,0.03841014,0.06815965,245855.49361152342,1.2684055253421118e-16,8164.143884738567
QSO,2.55415,0.000503402,20.10755,0.01693124,0.1773835,19.94332,0.018822400000000003,0.1227131,255808.76537088497,2.5753610624850674e-16,5729.551799215072
QSO,1.0168,0.001054937,20.72597,0.02836776,0.1910042,20.52316,0.03751273,0.1321358,181472.3756389417,1.457035472888926e-16,7617.362965448314
QSO,0.9229309,0.0004299501,20.76278,0.02878681,0.09575577,20.51671,0.03372301,0.0662434,172157.74163581038,1.4084652135776283e-16,7747.590360020405
QSO,2.53726,0.0004660961,20.68663,0.02776798,0.1627,20.61621,0.03508799,0.11255510000000002,255418.8883842355,1.5107970397568804e-16,7480.6037409895835
QSO,1.490679,0.001470286,21.78155,0.07654348,0.1137883,21.55389,0.09026651,0.07871822,216557.02742606317,5.511097890287686e-17,12385.702668393496
QSO,2.246734,0.0006447741999999999,20.34144,0.02248834,0.06532813,20.30657,0.03046546,0.0451937,247841.1294290086,2.0762618550503327e-16,6381.145540968303
QSO,1.229607,0.0005362228,19.54114,0.01376039,0.3264838,19.0892,0.01262969,0.2258599,199378.77225416322,4.339124639216715e-16,4414.064247543815
QSO,3.651184,0.0007139453999999999,20.30692,0.02077775,0.22264770000000006,19.1295,0.01189124,0.15402670000000002,273301.43442150194,2.1433353419576321e-16,6280.5062207623405
QSO,2.783449,0.000288422,20.97128,0.03346369,0.01876367,20.80178,0.03671546,0.01298062,260640.9707832092,1.1623746372947705e-16,8528.382102921165
QSO,0.2183862,2.468542e-05,21.37629,0.05622935,0.2249555,19.90809,0.02175503,0.15562320000000002,58458.83795459257,8.004645906000959e-17,10277.054274718621
QSO,2.651211,0.0006763653,20.94919,0.04193263,0.1239463,20.73609,0.05090272,0.08574551,257955.1390826135,1.1862661149809588e-16,8442.064191593081
