#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
QSO,2.092301,0.002057251,20.06931,0.01549715,0.1400415,20.02314,0.02000891,0.09688006
GALAXY,0.317679,6.324975E-05,20.68675,0.04805066,0.2141162,18.97546,0.01699788,0.1481246
GALAXY,0.6278717,0.0001463561,22.17681,0.1336982,0.09794538,20.83283,0.0616759,0.06775817
GALAXY,0.2372727,4.804511E-05,19.36605,0.02176722,0.09907447,17.89802,0.009989844,0.06853926
GALAXY,0.4694465,0.000112384,21.24388,0.09493424,0.12526,19.65269,0.03531104,0.08665428
GALAXY,0.08006509,7.814373E-06,17.39302,0.006618616,0.07375067,17.0199,0.006864546,0.05102037
GALAXY,0.3612511,8.901562E-05,20.5489,0.0503807,0.107109,18.77394,0.01677023,0.07409753
QSO,2.0313,0.0003484136,19.66841,0.01444303,0.03997316,19.59548,0.01649459,0.02765325
QSO,2.688059,0.001036447,21.16886,0.0405689,0.0467691,20.92774,0.04472298,0.03235465
GALAXY,0.4443937,1.441596E-05,21.38687,0.04922149,0.07506686,21.0764,0.0626952,0.05193091
GALAXY,0.01104077,6.833955E-06,15.91555,0.003879945,0.07608721,15.4423,0.003435672,0.05263678
GALAXY,0.4757683,8.815445E-05,22.01368,0.1233604,0.08376537,20.28516,0.04462703,0.0579485
GALAXY,0.4949119,0.000205491,23.00221,0.2192878,0.0570735,20.95345,0.05764601,0.03948318
GALAXY,0.6205424,0.0003300408,22.70937,0.2803713,0.1862267,21.45766,0.1611409,0.1288307
GALAXY,0.05188774,1.968138E-05,16.31661,0.003867999,0.0373005,15.61411,0.003309709,0.02580431
GALAXY,0.6717894,5.978911E-05,21.5039,0.1095537,0.1812674,20.81104,0.09172907,0.1254
GALAXY,0.1452017,2.215416E-05,17.50908,0.00674345,0.06316943,16.42318,0.004485907,0.04370032
GALAXY,0.4447308,7.906294E-05,20.02838,0.04929962,0.1025419,18.55809,0.02252147,0.07093798
QSO,2.591246,0.001475426,21.13965,0.04112566,0.02916714,21.00901,0.0528495,0.02017769
GALAXY,0.6052757,0.000201511,22.85254,0.2403552,0.03967047,20.95705,0.07083681,0.02744385
GALAXY,0.456145,0.0001234888,22.36944,0.1459012,0.06091255,20.71758,0.05460833,0.04213902
GALAXY,0.6972304,0.0002386455,22.13626,0.4060381,0.1050195,20.03509,0.0891474,0.07265203
GALAXY,0.524318,0.0001837564,22.15668,0.1328058,0.138699,20.86465,0.06741465,0.09595132
QSO,1.782032,0.0003982603,20.14881,0.01952218,0.1122434,19.93733,0.02054296,0.07764947
GALAXY,0.2192122,5.866795E-05,19.19741,0.02096767,0.1378231,17.80958,0.01048361,0.09534536
GALAXY,0.02351076,1.040889E-05,13.6863,0.001830111,0.0796534,12.78643,0.00165691,0.05510385
GALAXY,0.09845781,1.015773E-05,17.38077,0.006379989,0.06344152,16.84759,0.005987065,0.04388855
GALAXY,0.5572101,0.0001936765,21.80201,0.1455916,0.138769,20.74664,0.09727409,0.09599975
GALAXY,0.4817234,0.0001105324,21.96815,0.1065712,0.1113542,20.41711,0.04305718,0.07703434
GALAXY,0.6680559,0.0002120282,22.09332,0.2923069,0.1794553,20.4943,0.1026471,0.1241463
GALAXY,0.1156019,3.223343E-05,17.68669,0.008681917,0.3283445,16.86057,0.00680721,0.2271472
GALAXY,0.122071,1.874001E-05,18.14352,0.007828418,0.106241,17.22189,0.005760173,0.07349703
GALAXY,0.1990629,4.162286E-05,18.76882,0.01845061,0.1547764,17.71821,0.01113118,0.1070736
GALAXY,0.04171728,1.364437E-05,18.19024,0.0133181,0.1878112,17.56672,0.01251315,0.1299269
GALAXY,0.1425531,2.894254E-05,18.46003,0.01956042,0.372929,17.49753,0.01287423,0.2579905
GALAXY,0.05477002,2.449135E-05,18.38134,0.008915475,0.1238822,17.55455,0.006648299,0.08570112
GALAXY,0.4049073,0.0001349524,22.47142,0.1690429,0.1936194,20.95684,0.06531346,0.133945
QSO,2.608388,0.001210233,21.0702,0.03653089,0.03400568,21.04088,0.0503487,0.02352497
GALAXY,0.4740282,0.0001006466,20.67135,0.04800943,0.02758562,19.14009,0.02143593,0.0190836
GALAXY,0.6482223,0.000203465,22.41632,0.3177947,0.03569105,20.19946,0.07123575,0.0246909
GALAXY,0.08878514,1.724654E-05,16.79086,0.004757908,0.3641583,15.80888,0.003370794,0.251923
QSO,0.2817904,4.377865E-05,20.83458,0.03300455,0.3082694,20.1056,0.02663677,0.2132593
GALAXY,0.2021498,3.124122E-05,18.15514,0.0214983,0.1240566,25.64474,4.953492,0.08582176
GALAXY,0.5597873,0.000105624,21.83273,0.09169737,0.0295507,20.325,0.03662415,0.02044304
GALAXY,0.6307751,0.0001686182,22.27661,0.1349501,0.08365703,21.37935,0.09218343,0.05787355
GALAXY,0.4966,0.0001598589,22.5626,0.2436638,0.0864561,20.58101,0.05395932,0.05980993
GALAXY,0.07684539,3.593616E-05,18.50038,0.008730697,0.08751033,17.76796,0.006565592,0.06053924
GALAXY,0.4807627,0.000146349,22.56078,0.1722768,0.1019985,20.86672,0.04941791,0.07056209
QSO,1.042857,0.0006686374,19.52035,0.01223251,0.1670088,19.21429,0.01263074,0.1155359
GALAXY,0.5808065,0.0001754658,21.24586,0.08531759,0.0884409,20.17895,0.05114279,0.06118301
GALAXY,0.6323048,0.0001549658,23.3301,0.4241471,0.04236325,21.08604,0.08497769,0.0293067
QSO,1.838736,0.0004509688,19.1731,0.009841506,0.1543749,19.10175,0.01154105,0.1067958
GALAXY,0.03703378,8.702088E-06,16.01544,0.003759206,0.09737807,15.19842,0.003108006,0.0673657
GALAXY,0.06537174,1.778214E-05,16.87781,0.004893725,0.2529144,16.0608,0.003747487,0.174965
QSO,2.439176,0.000112134,19.02998,0.01029916,0.1983463,19.03274,0.01193779,0.1372151
GALAXY,0.2270757,1.561588E-05,18.23739,0.009618367,0.1376603,17.24633,0.006236294,0.09523272
GALAXY,0.4008043,8.302331E-05,20.28538,0.05594064,0.04459407,18.53145,0.01819656,0.03084997
GALAXY,0.6019421,0.0002401815,22.94093,0.3348959,0.05362777,20.74819,0.06756235,0.03709944
GALAXY,0.5170705,0.0001102313,21.50121,0.08408975,0.02855271,20.1004,0.03891313,0.01975263
GALAXY,0.3622697,7.110239E-05,20.73522,0.04656593,0.04798146,19.02408,0.01651629,0.03319335
GALAXY,0.03699167,5.817237E-06,17.93771,0.008223564,0.1624429,17.62797,0.00877307,0.1123773
GALAXY,0.5213093,0.0001182778,21.65132,0.1306328,0.05816618,19.91978,0.04108855,0.04023909
GALAXY,0.6040524,0.000158816,22.86037,0.1925984,0.03456822,20.98602,0.0619627,0.02391413
QSO,2.640338,0.0007993774,21.17734,0.03838764,0.03777117,21.06918,0.0524275,0.02612992
GALAXY,0.2331295,4.309933E-05,18.82009,0.01090777,0.04911775,17.6532,0.006285886,0.03397943
GALAXY,0.4597598,0.0001201998,22.40212,0.1543186,0.09996161,20.4887,0.03937456,0.06915298
QSO,1.50503,0.0004825506,19.45172,0.01185204,0.1854561,19.31561,0.01269163,0.1282977
GALAXY,0.3582249,7.607543E-05,21.19237,0.06420123,0.1246872,19.39946,0.02154579,0.08625805
QSO,1.159344,0.000277679,18.83318,0.008968184,0.2180522,18.52929,0.008716213,0.1508475
GALAXY,0.07992403,2.232361E-05,17.69159,0.006995753,0.1229557,16.81246,0.00515937,0.08506016
