#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
QSO,1.715087,0.000431667,20.27921,0.0187508,0.3902074,20.01723,0.01923696,0.2699437
GALAXY,0.04576474,1.41E-05,16.40658,0.003486999,0.1565161,15.54518,0.00284803,0.1082771
GALAXY,0.525609,0.000130876,21.79913,0.07040358,0.1105631,21.11698,0.0524409,0.07648706
GALAXY,0.3353027,8.61E-05,20.81847,0.04670517,0.1188439,19.06273,0.01653091,0.08221562
GALAXY,0.1579192,8.10E-06,18.24925,0.0116745,0.09434933,17.73546,0.009137184,0.06527043
GALAXY,0.3777795,0.00012982,21.08035,0.08189269,0.1392748,19.30151,0.02768584,0.09634966
GALAXY,0.5347646,0.000182881,22.77707,0.1550889,0.1072346,21.07869,0.05812865,0.07418438
GALAXY,0.114905,9.67E-06,17.86696,0.006305307,0.1516968,17.17516,0.005239704,0.1049432
GALAXY,0.1143373,2.98E-05,18.5607,0.01015191,0.1465576,17.56121,0.006832359,0.1013879
GALAXY,0.3328015,0.000135611,20.58948,0.05606142,0.278127,18.91865,0.02091302,0.1924069
GALAXY,0.5562351,0.000226388,21.60376,0.1673562,0.1951097,20.07585,0.06342737,0.134976
GALAXY,0.4343293,4.06E-05,21.616,0.1282971,0.2407361,20.33025,0.05821961,0.1665401
GALAXY,0.3182898,5.84E-05,20.9392,0.04793006,0.1929421,19.38187,0.02016386,0.1334764
GALAXY,0.5319784,8.68E-05,22.05307,0.139598,0.0571453,20.17474,0.04345532,0.03953286
GALAXY,0.5704836,0.000284555,22.35983,0.1486434,0.09443026,20.51622,0.04795638,0.06532642
GALAXY,0.1031818,2.34E-05,16.92192,0.006869765,0.08992027,16.16507,0.005555332,0.06220643
GALAXY,0.2684138,4.52E-05,19.45617,0.02154467,0.1649023,17.94555,0.009557994,0.1140787
GALAXY,0.5220398,0.000166767,22.58512,0.205799,0.2669363,20.75014,0.06108921,0.1846653
GALAXY,0.6349442,8.28E-05,22.47783,0.184468,0.09281369,20.76777,0.06293014,0.06420808
QSO,0.5365017,6.15E-05,19.28593,0.01149643,0.04210759,19.36532,0.01501153,0.02912984
GALAXY,0.5117471,0.000178454,21.48649,0.1196341,0.04146724,19.92576,0.04755205,0.02868684
GALAXY,0.2959228,6.10E-05,19.84732,0.02922837,0.08565195,18.15163,0.0109596,0.05925363
GALAXY,0.5669239,0.000164533,22.54561,0.1739901,0.04444321,20.88486,0.0629355,0.03074561
QSO,1.854086,0.000314195,20.70497,0.02792684,0.07557832,20.5818,0.0379548,0.05228474
GALAXY,0.6202273,0.000195502,24.21012,0.9059337,0.0630104,20.91868,0.0885852,0.0435903
GALAXY,0.5898749,0.000197662,22.4221,0.2072744,0.1993533,20.77457,0.07716435,0.1379117
