#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.3775651,0.000102853,20.34306,0.04102822,0.1375337,18.55332,0.01349542,0.09514519
GALAXY,0.5247827,0.000133631,22.86081,0.1785451,0.08804829,20.83116,0.04530732,0.0609114
GALAXY,0.5989022,9.44E-05,22.02117,0.1294467,0.1445736,20.57748,0.05657167,0.1000153
GALAXY,0.6029248,0.000275669,23.47925,0.4462017,0.3817284,21.30838,0.1048644,0.2640779
GALAXY,0.2227749,1.61E-05,18.71891,0.009793286,0.2333419,17.85598,0.007210144,0.1614249
GALAXY,0.1354858,4.76E-05,18.78899,0.01467425,0.1694856,17.65371,0.009038435,0.1172494
QSO,2.222875,0.00031736,19.76607,0.0149745,0.04517032,19.84873,0.02039864,0.03124862
GALAXY,0.5117664,0.000265809,22.68993,0.1903835,0.1797139,20.83628,0.05767696,0.1243252
GALAXY,0.1220661,3.27E-05,21.23362,0.08258158,0.08998068,20.8462,0.09117432,0.06224822
QSO,1.30064,0.000585136,21.38189,0.05251467,0.1141047,20.96058,0.05480839,0.07893708
QSO,0.7922437,0.000131867,19.76196,0.01414065,0.03326787,19.62862,0.01580943,0.02301455
GALAXY,0.3101682,4.86E-05,20.31672,0.03388843,0.1242716,18.70457,0.01409327,0.08597051
GALAXY,0.1493698,9.90E-06,18.37127,0.01090593,0.03744411,17.68626,0.01084034,0.02590366
GALAXY,0.1154584,2.11E-05,17.23507,0.006583833,0.05204234,16.36941,0.004880135,0.03600265
GALAXY,0.1381077,1.51E-05,18.57864,0.01247092,0.108153,17.78278,0.009277306,0.07481973
GALAXY,0.642691,0.000127772,21.68253,0.1708293,0.07867762,20.23874,0.06908546,0.05442882
GALAXY,0.08035171,1.60E-05,17.15101,0.005832341,0.1277216,16.25924,0.00428979,0.08835718
GALAXY,0.3686726,6.20E-05,21.27168,0.09239638,0.5663155,19.33664,0.0253277,0.3917744
GALAXY,0.1267217,2.22E-05,17.95703,0.008253416,0.09321267,16.90646,0.005269444,0.0644841
GALAXY,0.1898591,3.35E-05,18.8392,0.01514907,0.09999031,17.6277,0.008655262,0.06917283
GALAXY,0.5890238,0.000205904,22.27241,0.2491946,0.07589467,20.30572,0.06951766,0.05250358
GALAXY,0.531055,0.000168537,22.61431,0.1844967,0.1051039,20.90936,0.06030117,0.07271037
GALAXY,0.5169427,0.000122743,21.93708,0.1345754,0.06258068,20.21328,0.04738047,0.04329303
GALAXY,0.5024092,0.000155241,22.09517,0.1590055,0.1325525,20.0459,0.04126671,0.0916992
GALAXY,0.04893252,1.19E-05,17.97775,0.008666659,0.1213201,17.34674,0.008134427,0.08392869
GALAXY,0.5067956,0.000154633,21.71791,0.0891179,0.08775138,20.05013,0.03287034,0.060706
GALAXY,0.4698386,0.000164074,22.58936,0.185842,0.08169606,20.90205,0.06471087,0.05651696
GALAXY,0.5467647,0.000133352,21.44846,0.1078489,0.1593573,19.85501,0.03819172,0.1102426
GALAXY,0.05124296,1.27E-05,15.93294,0.003621853,0.07280101,15.19744,0.002941377,0.0503634
GALAXY,0.3395167,5.10E-05,21.30443,0.06079993,0.08026624,19.46966,0.01874856,0.05552782
QSO,0.194066,3.00E-05,18.87959,0.0100757,0.1559272,18.29016,0.008323129,0.1078697
QSO,2.930839,0.000452847,20.91956,0.0360537,0.09005892,20.78126,0.04037822,0.06230235
QSO,0.4905172,3.42E-05,20.72258,0.03950932,0.1119879,19.89655,0.02760405,0.07747269
GALAXY,0.6112177,0.000169196,22.7407,0.3827102,0.08718447,20.91304,0.1024586,0.06031381
GALAXY,0.3678465,0.000100486,20.94343,0.0633898,0.1091138,19.08534,0.01863999,0.07548443
QSO,2.339663,0.000894604,21.67287,0.06535418,0.04397755,21.64015,0.09345049,0.03042347
GALAXY,0.204898,3.49E-05,18.80519,0.01244997,0.03716949,17.55612,0.007535621,0.02571368
GALAXY,0.5162181,0.000174754,21.99353,0.1240575,0.1485848,20.736,0.05782178,0.1027903
GALAXY,0.4820011,0.000107623,22.04195,0.1142569,0.03031241,20.46499,0.04355953,0.02096999
GALAXY,0.1174135,8.83E-06,17.79739,0.007987521,0.4344266,16.9397,0.005949014,0.3005343
GALAXY,0.1792732,3.39E-05,18.30224,0.01891482,0.2088522,17.40474,0.01216323,0.144483
GALAXY,0.1026981,1.50E-05,19.04877,0.01637046,0.2054278,18.18776,0.01125805,0.142114
QSO,3.108329,0.001628792,22.37235,0.1185276,0.1010337,22.02454,0.1308862,0.06989465
QSO,0.4189881,3.72E-05,19.27586,0.01121355,0.1186995,19.39442,0.01417612,0.08211574
GALAXY,0.5288354,0.000165237,22.1499,0.1325633,0.03252777,20.64247,0.05435318,0.02250256
GALAXY,0.3382162,8.01E-05,20.77259,0.03992186,0.1241971,19.05071,0.01484096,0.08591896
QSO,1.253842,0.000490019,21.05928,0.03797031,0.09768064,20.52938,0.03245753,0.06757502
GALAXY,0.5674192,0.000259574,23.09247,0.349324,0.1354992,21.66879,0.1430941,0.09373775
GALAXY,0.06035747,2.06E-05,18.33867,0.007992739,0.06271145,17.51663,0.005928522,0.0433835
GALAXY,0.4971131,0.000142784,22.09917,0.1158298,0.1190372,20.41051,0.03749463,0.08234937
GALAXY,0.5945185,0.00043103,24.05055,0.5243061,0.06620246,21.41539,0.08577231,0.04579856
GALAXY,0.3819939,3.37E-05,22.05668,0.1118831,0.03220439,20.73169,0.04801596,0.02227885
QSO,1.888238,0.000427771,21.9741,0.07446627,0.08036014,21.97171,0.1132394,0.05559277
QSO,2.520966,0.000693667,19.62849,0.01262771,0.05274132,19.44635,0.01353425,0.0364862
GALAXY,0.5300561,0.000120209,20.94573,0.09135234,0.04350439,19.25786,0.03216913,0.03009613
GALAXY,0.4617588,0.000118116,22.25587,0.1461537,0.05082322,20.54102,0.05023988,0.03515927
GALAXY,0.1211935,2.91E-05,17.29605,0.006779214,0.1782894,16.27568,0.004755065,0.1233398
GALAXY,0.4236372,9.34E-05,20.67523,0.05558272,0.05509042,18.80321,0.01621649,0.0381113
QSO,1.812515,0.000569992,18.94871,0.009696718,0.08339178,18.93927,0.01102969,0.05769004
GALAXY,0.7578198,0.000316036,23.55365,0.5736263,0.03543238,21.58434,0.1345204,0.02451196
GALAXY,0.09669441,8.78E-06,17.20541,0.004930871,0.04013786,16.53443,0.004195465,0.02776719
GALAXY,0.138296,1.28E-05,18.52877,0.01464478,0.05889062,17.76561,0.01084306,0.04074026
GALAXY,0.4581484,1.37E-05,22.02167,0.09210353,0.0546395,21.73946,0.1219131,0.03779935
GALAXY,0.1157007,1.47E-05,18.41817,0.01161283,0.1103158,17.48919,0.009033625,0.07631595
GALAXY,0.1755457,4.27E-05,18.25036,0.0110438,0.130249,17.0239,0.00634604,0.09010566
GALAXY,0.6595988,0.000185782,22.81046,0.2101649,0.07848781,20.95813,0.07188308,0.05429751
GALAXY,0.08509845,2.76E-05,17.84775,0.007911383,0.1129378,16.94037,0.005536856,0.07812987
GALAXY,0.1717972,1.13E-05,18.77086,0.01050324,0.1170988,17.93292,0.008094301,0.08100837
GALAXY,0.6309401,0.000141778,22.1911,0.1170453,0.04914848,20.38135,0.04187165,0.03400069
GALAXY,0.1255296,3.44E-05,18.36829,0.009278737,0.02866527,17.46932,0.006933664,0.0198305
QSO,0.4652606,0.000186887,19.36688,0.01281299,0.03487784,19.1106,0.01478914,0.02412833
QSO,0.8577305,0.000176805,18.35409,0.006348168,0.04437868,18.16456,0.00693118,0.03070097
GALAXY,0.3552611,6.94E-05,20.37742,0.03724299,0.0378662,18.68829,0.01403926,0.02619566
GALAXY,0.8712325,0.000341258,23.30205,0.4205946,0.09770273,21.62851,0.1225487,0.06759029
GALAXY,0.2235916,3.50E-05,19.33415,0.01787293,0.1610736,17.88195,0.008491761,0.1114299
GALAXY,0.1775167,1.50E-05,18.66106,0.01010674,0.04880838,17.82662,0.008108221,0.03376541
GALAXY,0.5099936,0.000156394,21.775,0.07707155,0.05204199,19.9997,0.02990931,0.0360024
